intptlat,intptlong,zcta5
41.49514008,-71.76963043,2833
41.51008987,-71.37836456,2835
41.4546814,-71.62020874,2836
41.51876831,-71.16724396,2837
41.96525574,-71.47637177,2838
41.94075775,-71.64151001,2839
41.47821426,-71.32237244,2840
41.51186371,-71.33217621,2841
41.51867294,-71.28168488,2842
41.58856583,-71.45980835,2852
41.82276154,-71.63360596,2857
41.96446228,-71.65133667,2858
41.95907211,-71.75732422,2859
41.87056351,-71.3886795,2860
41.87860489,-71.35313416,2861
41.89006424,-71.39347839,2863
41.96691132,-71.42893219,2864
41.91545486,-71.44981384,2865
41.58729935,-71.26124573,2871
41.59705353,-71.32066345,2872
41.53308487,-71.78051758,2873
41.50868607,-71.48174286,2874
41.45648575,-71.63886261,2875
41.99427795,-71.58548737,2876
41.60942841,-71.17816162,2878
41.42401886,-71.53427887,2879
41.47808456,-71.52471924,2881
41.4151535,-71.46524811,2882
41.72513962,-71.25880432,2885
41.70384979,-71.45556641,2886
41.74766922,-71.4061203,2888
41.70059204,-71.37693024,2889
41.36185455,-71.78968811,2891
41.49200439,-71.59477234,2892
41.67900467,-71.51868439,2893
41.44447708,-71.70323944,2894
42.00170517,-71.49994659,2895
41.97518539,-71.54406738,2896
41.51763916,-71.66851807,2898
41.81822968,-71.40908813,2903
41.85833359,-71.43629456,2904
41.78472519,-71.39610291,2905
41.840168,-71.39041138,2906
41.79859161,-71.42462921,2907
41.83982468,-71.43679047,2908
41.82141876,-71.45321655,2909
41.77499771,-71.43559265,2910
41.85488892,-71.47280884,2911
41.82559204,-71.40223694,2912
41.81483841,-71.36533356,2914
41.77284622,-71.35483551,2915
41.84266281,-71.35243988,2916
41.90577316,-71.5233078,2917
41.82743835,-71.5198822,2919
41.76734543,-71.46550751,2920
41.76845551,-71.51577759,2921
34.888,-81.969,2939
42.87486267,-71.60050201,3031
42.99726105,-71.36342621,3032
42.74926376,-71.67566681,3033
43.05689621,-71.34063721,3034
42.9845314,-71.25510406,3036
43.1412735,-71.24819946,3037
42.88761139,-71.28204346,3038
43.05418777,-71.08419037,3042
42.99700165,-71.81778717,3043
43.00037003,-71.11916351,3044
43.02151489,-71.5634613,3045
43.11639404,-71.5954361,3046
42.93637085,-71.86724854,3047
42.74287415,-71.7617569,3048
42.74962234,-71.58540344,3049
42.76050949,-71.40949249,3051
42.84608078,-71.46828461,3052
42.86983871,-71.3878479,3053
42.85203552,-71.51987457,3054
42.81864548,-71.6733551,3055
42.90888596,-71.69419861,3057
42.74108887,-71.45826721,3060
42.72232437,-71.50117493,3062
42.78210068,-71.51836395,3063
42.77937698,-71.47491455,3064
42.9812088,-71.67752075,3070
42.74625778,-71.87443542,3071
42.73099136,-71.33707428,3076
43.03803635,-71.20510864,3077
42.78826523,-71.22172546,3079
42.89640808,-71.76833344,3082
42.82685852,-71.87525177,3084
42.83223343,-71.75960541,3086
42.81109238,-71.3026886,3087
42.98902512,-71.46611023,3101
43.01190567,-71.49106598,3102
42.95053864,-71.44654846,3103
43.009552,-71.43978119,3104
43.08220291,-71.4467392,3106
42.96373367,-71.40035248,3109
42.93558502,-71.53687286,3110
43.94283676,-71.44811249,3215
43.45117569,-71.79794312,3216
43.72596741,-71.64257813,3217
43.33803558,-71.27725983,3218
43.47445679,-71.48220825,3220
43.25800323,-71.96016693,3221
43.6426239,-71.78894806,3222
43.85543442,-71.68547821,3223
43.36249161,-71.55802155,3224
43.36381531,-71.24172974,3225
43.71611786,-71.49424744,3226
43.84119034,-71.48085022,3227
43.20218658,-71.69680023,3229
43.50864792,-71.89024353,3230
43.4733429,-71.76233673,3231
43.4240036,-71.93119049,3233
43.2048111,-71.34856415,3234
43.44913483,-71.67427063,3235
43.42305756,-71.38721466,3237
43.98437881,-71.91125488,3238
43.57471466,-71.95200348,3240
43.75183868,-71.81778717,3241
43.16940689,-71.83119965,3242
43.52830505,-71.76919556,3243
43.12810135,-71.91693878,3244
43.76151657,-71.58336639,3245
43.57649612,-71.4822998,3246
43.51950073,-71.37583923,3249
44.10081863,-71.49404907,3251
43.63121033,-71.49858856,3253
43.71772003,-71.36917877,3254
43.31402588,-72.02455139,3255
43.62333298,-71.63261414,3256
43.41772079,-71.99060822,3257
43.26525879,-71.40883636,3258
43.87571335,-71.39501953,3259
43.33071899,-71.91685486,3260
43.21536636,-71.21281433,3261
43.99988937,-71.71444702,3262
43.28850174,-71.30936432,3263
43.73880768,-71.70271301,3264
43.78287125,-71.88474274,3266
43.38610077,-71.7729187,3268
43.52418518,-71.60160828,3269
43.30198288,-71.92695618,3273
43.17051315,-71.41706085,3275
43.43103027,-71.5759964,3276
43.30892944,-71.83550262,3278
43.96580124,-71.8591156,3279
43.19006729,-72.0938797,3280
43.07805634,-71.70370483,3281
43.85872269,-71.92372131,3282
43.47293472,-72.01312256,3284
43.94787598,-71.63578796,3285
43.44328308,-71.9224472,3287
43.12984848,-71.13185883,3290
43.17917252,-71.14260864,3291
43.9706192,-71.67991638,3293
43.23854828,-71.5559845,3301
43.31171799,-71.66538239,3303
43.13317871,-71.53723907,3304
43.33398819,-71.44665527,3307
42.96504211,-72.2947998,3431
43.05029297,-71.98197174,3440
42.78068542,-72.44702911,3441
43.02028275,-71.90370941,3442
42.87572861,-72.45611572,3443
42.88927841,-72.06984711,3444
43.02061462,-72.21437073,3445
42.85827255,-72.2963562,3446
42.75320435,-72.1530304,3447
43.05260849,-72.27449799,3448
42.9773407,-71.99781799,3449
42.94853592,-72.06898499,3450
42.80929947,-72.50482178,3451
42.82925415,-72.05989838,3452
42.90176773,-72.17292023,3455
43.13854218,-72.20877075,3456
42.9994812,-72.1217041,3457
42.86837006,-71.94010162,3458
